method,origin,train_end,target_index,status,error_message,fit_seconds,predict_seconds,mse_t,mae_t,sarma_branch_actual,sarma_initial_lmbd,sarma_initial_eta,sarma_profile_loss,sarma_profile_candidate_index,sarma_profile_candidate_count,sarma_final_lmbd,sarma_final_eta,sarma_loss,sarma_iter_no,sarma_converged,sarma_theta_diff,sarma_loss_diff
SARMA_LS,5,742,5,ok,,0.31653349997941405,0.0003314170171506703,2.5609086795175675,1.0092214651181242,MLE,[0.85],[],3.274114060177358,12.0,12.0,[0.8540078249326223],[],3.2740695727207814,12.0,True,9.471605978306208e-06,1.6848106072316485e-09
SARMA_MLE,5,742,5,ok,,0.31653349997941405,0.00026950001483783126,2.4800537827549602,0.9920829131088934,LS,[0.85],[],3.274114060177358,12.0,12.0,[0.8274541401569978],[],4.88673909556263,18.0,True,3.373466507139433e-06,9.567936980092045e-11
SARMA_LS,6,743,6,ok,,0.38850045803701505,0.00029995798831805587,10.76458375611619,2.62509592202815,MLE,[0.85],[],3.3096711589763035,12.0,12.0,[0.8390907040944011],[],3.3093664184515554,18.0,True,4.5631606826468385e-08,2.610026038034466e-13
SARMA_MLE,6,743,6,ok,,0.38850045803701505,0.00027970800874754786,10.880676109231176,2.630292560212533,LS,[0.85],[],3.3096711589763035,12.0,12.0,[0.818501109243538],[],4.904190825601744,18.0,True,2.0005322167726547e-06,3.149378493708843e-11
SARMA_LS,7,744,7,ok,,0.35592766699846834,0.00031575001776218414,1.9199108686441653,0.9604207473955152,MLE,[0.85],[],3.384656018352545,12.0,12.0,[0.8551328465557394],[],3.384589702857375,13.0,True,1.0941848912371377e-05,2.1136682477268718e-09
SARMA_MLE,7,744,7,ok,,0.35592766699846834,0.0002651250106282532,1.8559482208672728,0.9497891194870962,LS,[0.85],[],3.384656018352545,12.0,12.0,[0.8282257539941948],[],4.983196364959568,19.0,True,3.339392103729466e-06,9.213305334793097e-11
SARMA_LS,8,745,8,ok,,0.387899124994874,0.00031037500593811274,0.10551870805056777,0.23742466113279115,MLE,[0.85],[],3.4097791335039207,12.0,12.0,[0.8523786600246144],[],3.409764493052269,11.0,True,1.1407945532670993e-05,2.1721076514898056e-09
SARMA_MLE,8,745,8,ok,,0.387899124994874,0.0002878329833038151,0.07952793374532131,0.19916740590645055,LS,[0.85],[],3.4097791335039207,12.0,12.0,[0.8224241374956248],[],4.99291949286166,19.0,True,1.317816134993599e-06,1.381866106156387e-11
SARMA_LS,9,746,9,ok,,0.33916204201523215,0.00031120795756578445,0.8444033059531896,0.6241307781465376,MLE,[0.85],[],3.3060872830233787,12.0,12.0,[0.8486105782917741],[],3.306082636818077,12.0,True,4.1785731186294583e-07,2.989534004622434e-12
SARMA_MLE,9,746,9,ok,,0.33916204201523215,0.00028312503127381206,0.7965655511954434,0.5995097929112182,LS,[0.85],[],3.3060872830233787,12.0,12.0,[0.8205585293928109],[],4.939016574511236,19.0,True,1.497562630570215e-06,1.7879674697101004e-11
SARMA_LS,10,747,10,ok,,0.4414539160206914,0.0003233749885112047,0.13910755066069133,0.2993285242195815,MLE,[0.85],[],3.2944648164840222,12.0,12.0,[0.8428822093723193],[],3.2943461198873822,18.0,True,5.854014928363682e-08,2.58148521061655e-13
SARMA_MLE,10,747,10,ok,,0.4414539160206914,0.000272250035777688,0.15912643613145708,0.3178094527624186,LS,[0.85],[],3.2944648164840222,12.0,12.0,[0.8168974293024875],[],4.926638976135703,20.0,True,7.348892427927467e-08,1.775765527097997e-13
SARMA_LS,11,748,11,ok,,0.48752987501211464,0.00031229201704263687,0.7369888570164639,0.626333221930306,MLE,[0.85],[],3.292772051382521,12.0,12.0,[0.8336254957404577],[],3.2921354067463877,20.0,True,5.916649384873907e-07,5.6204903841744535e-12
SARMA_MLE,11,748,11,ok,,0.48752987501211464,0.0002674999996088445,0.7263846517829702,0.6278420292342175,LS,[0.85],[],3.292772051382521,12.0,12.0,[0.8136059541179258],[],4.924521558791486,20.0,True,1.7304189525724212e-07,1.634046018962006e-13
SARMA_LS,12,749,12,ok,,0.429849042033311,0.0003103329800069332,0.44562428609255283,0.4752009381614914,MLE,[0.85],[],3.2763605234547404,12.0,12.0,[0.8422402144450766],[],3.2762214736520336,18.0,True,4.3782798164748726e-08,2.64049766993807e-13
SARMA_MLE,12,749,12,ok,,0.429849042033311,0.0002579169813543558,0.4393427238898379,0.4672353268546252,LS,[0.85],[],3.2763605234547404,12.0,12.0,[0.8167083618290635],[],4.92403078911586,21.0,True,2.076873595324713e-06,3.6452598373603085e-11
SARMA_LS,13,750,13,ok,,0.4633344999747351,0.00030449999030679464,1.8964673616638625,1.2197789535276886,MLE,[0.85],[],3.271119382938411,12.0,12.0,[0.8349361923540918],[],3.2705895676088237,20.0,True,0.0,0.0
SARMA_MLE,13,750,13,ok,,0.4633344999747351,0.00026583304861560464,1.8851747789138207,1.2175792692989837,LS,[0.85],[],3.271119382938411,12.0,12.0,[0.8123352347361418],[],4.920426005915626,21.0,True,1.4705052795438434e-06,1.7918888632557783e-11
SARMA_LS,14,751,14,ok,,0.5388306669774465,0.0003214579774066806,0.25821363717434864,0.4659759255612527,MLE,[0.85],[],3.2644307187951744,12.0,12.0,[0.8341775204686592],[],3.263823571790446,20.0,True,3.3459584536377207e-07,1.977146800135317e-12
SARMA_MLE,14,751,14,ok,,0.5388306669774465,0.000263167021330446,0.26668901174127574,0.46810020258079116,LS,[0.85],[],3.2644307187951744,12.0,12.0,[0.8113457548494108],[],4.921883071858452,21.0,True,1.7059291340659755e-06,2.3867695537992743e-11
SARMA_LS,15,752,15,ok,,0.4818974580266513,0.000320332997944206,0.2978053334733644,0.4134342737093612,MLE,[0.85],[],3.256052171338543,12.0,12.0,[0.8403406332541894],[],3.2558316269439795,19.0,True,0.0,0.0
SARMA_MLE,15,752,15,ok,,0.4818974580266513,0.0002652079565450549,0.2988853197522962,0.41753204562784463,LS,[0.85],[],3.256052171338543,12.0,12.0,[0.8139155025570682],[],4.9200050459641425,21.0,True,1.6808628261477665e-06,2.3061740956340595e-11
SARMA_LS,16,753,16,ok,,0.44390970800304785,0.0002947080065496266,0.49374451801899305,0.6098865970395586,MLE,[0.85],[],3.256557169581361,12.0,12.0,[0.8431812892410838],[],3.2564444211903254,17.0,True,3.134796119352856e-07,1.8567099429190763e-12
SARMA_MLE,16,753,16,ok,,0.44390970800304785,0.00026754196733236313,0.48838236870565116,0.6037958001690076,LS,[0.85],[],3.256557169581361,12.0,12.0,[0.8153941561708739],[],4.920340363125843,21.0,True,1.9468055533211626e-06,3.127759636491923e-11
SARMA_LS,17,754,17,ok,,0.4154839999973774,0.00031583302188664675,0.4025156531844014,0.5512812956851528,MLE,[0.85],[],3.268610024559564,12.0,12.0,[0.8354443645735604],[],3.2681044157457255,19.0,True,0.0,0.0
SARMA_MLE,17,754,17,ok,,0.4154839999973774,0.0002769159618765116,0.40423097080452286,0.5464768095334609,LS,[0.85],[],3.268610024559564,12.0,12.0,[0.8106448323386226],[],4.926900599321465,21.0,True,1.806676290017073e-06,2.536505794188122e-11
SARMA_LS,18,755,18,ok,,0.47061212500557303,0.00030112499371171,1.0311620935031858,0.888662695630924,MLE,[0.85],[],3.255983470677702,12.0,12.0,[0.8439116955871248],[],3.2558928461576233,17.0,True,3.499390774930333e-07,2.181509335971929e-12
SARMA_MLE,18,755,18,ok,,0.47061212500557303,0.00026175001403316855,1.012090188703699,0.8840613127649976,LS,[0.85],[],3.255983470677702,12.0,12.0,[0.8150040789718983],[],4.921333198898926,21.0,True,1.950788656279734e-06,3.083616085200156e-11
SARMA_LS,19,756,19,ok,,0.444629666977562,0.0003090000245720148,0.5373040824851479,0.5310529474526229,MLE,[0.85],[],3.2550645111740026,12.0,12.0,[0.8429661387854018],[],3.254940630299779,17.0,True,3.521164695374779e-07,2.1751893203602767e-12
SARMA_MLE,19,756,19,ok,,0.444629666977562,0.00026054197223857045,0.5387390406302507,0.5257262102523698,LS,[0.85],[],3.2550645111740026,12.0,12.0,[0.8164692532478486],[],4.92760276294575,20.0,True,8.895505729800135e-07,6.346444166758225e-12
SARMA_LS,20,757,20,ok,,0.4685197500512004,0.0003016250557266176,0.7022250147508037,0.673943607503559,MLE,[0.85],[],3.2588328901555266,12.0,12.0,[0.8314283720763419],[],3.2580031359829063,20.0,True,4.5429608830360735e-07,3.279277055710228e-12
