param_label,param_col,param_type,block,row,col,T,normal_a0_bias,normal_a0_esd,normal_a0_asd,t5_a0_bias,t5_a0_esd,t5_a0_asd,normal_a05_bias,normal_a05_esd,normal_a05_asd,t5_a05_bias,t5_a05_esd,t5_a05_asd
"$g_{2,11}$",G2_r1_c1,G,2,1,1.0,1000,0.09423839501924104,0.4834851953055998,0.46055763560504615,0.0923338583659264,0.48448609552543076,0.46021315169155513,0.08644240461897296,0.6136479442682876,0.6121928849948166,0.0940719064274126,0.625277589559395,0.6127855765226929
"$g_{3,11}$",G3_r1_c1,G,3,1,1.0,500,-0.0562876639174539,0.5402907102507404,0.49816312779047517,-0.061365348156362,0.5278169595826336,0.4986194105518198,0.0027024294328209498,0.7359558496902406,0.6502295743243006,-0.06748956458949067,0.7057540426658588,0.6569101231443428
"$g_{3,11}$",G3_r1_c1,G,3,1,1.0,750,-0.03945313708410672,0.4126343162808168,0.408485796159695,-0.02699198278669011,0.4110931217300903,0.4093073168103067,0.0081152199869189,0.5652100448281916,0.5346663532725653,-0.01240781296159062,0.5444726325191517,0.5352480545621943
"$g_{3,11}$",G3_r1_c1,G,3,1,1.0,1000,-0.03426520608740411,0.37017909612091293,0.3560350749232921,-0.03189844046862233,0.35773688541958043,0.35560200504207745,-0.01180754256398929,0.4739395270416078,0.4608199621532972,-0.024180798990013942,0.4640608186166544,0.46171846005683176
"$g_{4,11}$",G4_r1_c1,G,4,1,1.0,500,0.0556296951991786,0.4347319064206047,0.39742327096923774,0.07561373019374068,0.43944557916781884,0.3981939756730314,0.09916930952004273,0.5525737341041865,0.502117882820716,0.07689241560376009,0.5660294337404924,0.5127887762207793
"$g_{4,11}$",G4_r1_c1,G,4,1,1.0,750,0.04484736951722162,0.3509143440675121,0.3258122429430098,0.03387468715597808,0.34430218678477864,0.327112024431446,0.08169733810835939,0.42831967618208766,0.41279208897765934,0.03207201605846171,0.4415778852235543,0.4135572820300856
"$g_{4,11}$",G4_r1_c1,G,4,1,1.0,1000,0.03940814982008711,0.2942409890044687,0.28366774479191836,0.03277395309565667,0.29851627143052584,0.28398329842455483,0.0686816018491912,0.37269601309385453,0.3565873094977846,0.03541444235028224,0.3805164425838472,0.3577148352529468
$\sigma_{11}$,Sigma_r1_c1,Sigma,Sigma,1,1.0,500,-0.4948979652016739,0.5817031311391309,0.5962226676279478,-0.4871939651380952,1.09223542899143,0.955414349513037,-0.4918303295015402,0.5965854700727031,0.5677847327849335,-0.4878857963642691,1.0913972737813107,0.89598685437232
$\sigma_{11}$,Sigma_r1_c1,Sigma,Sigma,1,1.0,750,-0.32662661961637807,0.4866813886791883,0.49629348537619783,-0.29372434845808537,0.957454414224746,0.8209540158089599,-0.3134211400297704,0.5195263284265195,0.4733406862317463,-0.29086491262379166,0.95663411682645,0.779681255700156
$\sigma_{11}$,Sigma_r1_c1,Sigma,Sigma,1,1.0,1000,-0.25406943978037777,0.42634146254270633,0.43312813604083533,-0.2944242606148939,0.7495296412658221,0.7260208444431374,-0.24964727556232802,0.44969875469297416,0.4125714594014685,-0.2928122734598271,0.7461416073279454,0.6835503357470407
$\sigma_{21}$,Sigma_r2_c1,Sigma,Sigma,2,1.0,500,0.01080678048334298,0.43686765679186407,0.4229781800778422,0.015432172521231519,0.6932861229684054,0.597725580274687,-0.26562311739565414,0.4672842498412618,0.4553942046433897,-0.2387988396124024,0.8117579397766941,0.6554927166132779
$\sigma_{21}$,Sigma_r2_c1,Sigma,Sigma,2,1.0,750,-0.00283295992455398,0.35225591599353734,0.3519253813037937,0.01178733652203148,0.635819073580594,0.5262545294842725,-0.17503217582539754,0.389707422944238,0.37933502303908984,-0.13910748533471795,0.7746825353278357,0.5762695415745731
$\sigma_{21}$,Sigma_r2_c1,Sigma,Sigma,2,1.0,1000,0.0032149033527455197,0.31529366680072723,0.3079041631813302,0.03271593199544244,0.4916113227295373,0.46532497321670546,-0.1408873136854727,0.33235089838642107,0.3314017997925509,-0.1206471179779467,0.5404125645446356,0.5129800675339955
$\sigma_{31}$,Sigma_r3_c1,Sigma,Sigma,3,1.0,500,-0.048323754077586475,0.4521147632670601,0.4229240374099062,-0.08791099052564628,0.703513501653302,0.5853601705284385,-0.26387573883052623,0.46700017421121737,0.4478570050692957,-0.3226105057992052,0.8060105146973765,0.6416217976479478
$\sigma_{31}$,Sigma_r3_c1,Sigma,Sigma,3,1.0,750,-0.02753172344317229,0.3583859392734269,0.3512904214968936,-0.00042451687391396994,0.6116789705149099,0.5319619724497912,-0.1684600416869264,0.38903290559949194,0.3737424061794667,-0.14654667838268465,0.7774236278362623,0.5764029874037472
$\sigma_{31}$,Sigma_r3_c1,Sigma,Sigma,3,1.0,1000,-0.01487528942630614,0.31573217672019727,0.30716614877920256,-0.01649953406516564,0.5017195104642427,0.4557703100894968,-0.12981642421273976,0.334324934529593,0.3260215579971853,-0.15366350597046663,0.5814356005533174,0.502041255330851
